"Terminal columns", "Squares per row", "Squares per col", "Ops"
80, 50, 10, "3868.47"
90, 50, 10, "3709.20"
100, 50, 10, "3531.07"
0, 60, 10, "4084.97"
10, 60, 10, "4110.15"
20, 60, 10, "4073.32"
30, 60, 10, "3748.13"
40, 60, 10, "3741.11"
50, 60, 10, "3688.68"
60, 60, 10, "3629.76"
70, 60, 10, "3524.85"
80, 60, 10, "3432.89"
90, 60, 10, "3352.33"
100, 60, 10, "3238.34"
0, 70, 10, "3552.40"
10, 70, 10, "3579.10"
20, 70, 10, "3556.19"
30, 70, 10, "3276.54"
40, 70, 10, "3261.58"
50, 70, 10, "3236.25"
60, 70, 10, "3198.98"
70, 70, 10, "3145.64"
80, 70, 10, "3064.66"
90, 70, 10, "3013.86"
100, 70, 10, "2957.70"
0, 80, 10, "3141.69"
10, 80, 10, "3165.56"
20, 80, 10, "3137.75"
30, 80, 10, "3144.65"
40, 80, 10, "2889.34"
50, 80, 10, "2875.22"
60, 80, 10, "2852.25"
70, 80, 10, "2807.41"
80, 80, 10, "2775.46"
90, 80, 10, "2721.83"
100, 80, 10, "2678.81"
0, 90, 10, "2819.28"
10, 90, 10, "2840.10"
20, 90, 10, "2832.06"
30, 90, 10, "2816.90"
40, 90, 10, "2595.38"
50, 90, 10, "2565.42"
60, 90, 10, "2574.00"
70, 90, 10, "2556.24"
80, 90, 10, "2515.09"
90, 90, 10, "2496.26"
100, 90, 10, "2409.64"
0, 100, 10, "2328.83"
10, 100, 10, "2562.79"
20, 100, 10, "2564.10"
30, 100, 10, "2556.89"
40, 100, 10, "2357.93"
50, 100, 10, "2346.32"
60, 100, 10, "2336.99"
70, 100, 10, "2322.34"
80, 100, 10, "2310.00"
90, 100, 10, "2281.54"
100, 100, 10, "2266.55"
0, 0, 20, "31055.90"
10, 0, 20, "16000.00"
20, 0, 20, "7272.73"
30, 0, 20, "3625.82"
40, 0, 20, "2259.89"
50, 0, 20, "1507.39"
60, 0, 20, "1089.09"
70, 0, 20, "822.10"
80, 0, 20, "642.10"
90, 0, 20, "514.19"
100, 0, 20, "419.89"
0, 10, 20, "9680.54"
10, 10, 20, "8936.55"
20, 10, 20, "7570.02"
30, 10, 20, "6222.78"
40, 10, 20, "5224.66"
50, 10, 20, "4444.44"
60, 10, 20, "3834.36"
70, 10, 20, "3239.39"
80, 10, 20, "2715.92"
90, 10, 20, "2395.78"
100, 10, 20, "2079.87"
0, 20, 20, "5422.99"
10, 20, 20, "5189.41"
20, 20, 20, "5007.51"
30, 20, 20, "4670.71"
40, 20, 20, "4154.55"
50, 20, 20, "3824.09"
60, 20, 20, "3388.68"
70, 20, 20, "3020.24"
80, 20, 20, "2773.93"
90, 20, 20, "2596.05"
100, 20, 20, "2364.63"
0, 30, 20, "3813.88"
